route,origin,dest,n_flights,avg_arr_delay,avg_dep_delay,pct_arr_del15
ABE-ATL,ABE,ATL,155,1.4580645161290322,11.987096774193548,0.1935483870967742
ABE-BNA,ABE,BNA,18,-7.666666666666667,5.833333333333333,0.1111111111111111
ABE-CLT,ABE,CLT,174,-2.7241379310344827,8.729885057471265,0.13218390804597702
ABE-DEN,ABE,DEN,17,-0.058823529411764705,-6.470588235294118,0.29411764705882354
ABE-FLL,ABE,FLL,20,-6.45,11.15,0.2
ABE-MLB,ABE,MLB,17,-17.529411764705884,-3.8823529411764706,0.11764705882352941
ABE-MYR,ABE,MYR,17,-8.235294117647058,-0.4117647058823529,0.11764705882352941
ABE-ORD,ABE,ORD,71,-1.7183098591549295,11.492957746478874,0.1267605633802817
ABE-PGD,ABE,PGD,30,-5.833333333333333,5.3,0.23333333333333334
ABE-PIE,ABE,PIE,35,13.571428571428571,25.085714285714285,0.17142857142857143
ABE-SFB,ABE,SFB,98,24.653061224489797,33.89795918367347,0.16326530612244897
ABE-SRQ,ABE,SRQ,17,-11.588235294117647,-6.470588235294118,0.17647058823529413
ABI-DFW,ABI,DFW,290,3.7586206896551726,2.1758620689655173,0.1724137931034483
ABQ-ATL,ABQ,ATL,137,-7.875912408759124,-1.0875912408759123,0.058394160583941604
ABQ-AUS,ABQ,AUS,116,2.543103448275862,6.525862068965517,0.19827586206896552
ABQ-BUR,ABQ,BUR,36,11.027777777777779,21.555555555555557,0.2222222222222222
ABQ-BWI,ABQ,BWI,59,9.915254237288135,15.389830508474576,0.2542372881355932
ABQ-DAL,ABQ,DAL,273,0.17582417582417584,6.029304029304029,0.10622710622710622
ABQ-DEN,ABQ,DEN,385,0.5402597402597402,7.898701298701298,0.17142857142857143
ABQ-DFW,ABQ,DFW,352,14.664772727272727,16.150568181818183,0.26136363636363635
ABQ-HOU,ABQ,HOU,139,2.985611510791367,9.086330935251798,0.11510791366906475
ABQ-IAH,ABQ,IAH,67,9.716417910447761,15.686567164179104,0.16417910447761194
ABQ-JFK,ABQ,JFK,14,46.214285714285715,44.42857142857143,0.42857142857142855
ABQ-LAS,ABQ,LAS,282,5.095744680851064,11.039007092198581,0.18439716312056736
ABQ-LAX,ABQ,LAX,341,0.9237536656891495,4.381231671554252,0.11730205278592376
ABQ-LGB,ABQ,LGB,52,7.884615384615385,9.096153846153847,0.19230769230769232
ABQ-MCI,ABQ,MCI,53,4.39622641509434,5.452830188679245,0.20754716981132076
ABQ-MCO,ABQ,MCO,8,6.25,-1.125,0.25
ABQ-MDW,ABQ,MDW,58,-7.913793103448276,1.8620689655172413,0.08620689655172414
ABQ-MSP,ABQ,MSP,7,-8.142857142857142,-6.714285714285714,0.0
ABQ-OAK,ABQ,OAK,59,-6.762711864406779,1.3898305084745763,0.06779661016949153
ABQ-ORD,ABQ,ORD,112,5.321428571428571,10.723214285714286,0.22321428571428573
ABQ-PHX,ABQ,PHX,447,3.3982102908277403,7.118568232662192,0.18120805369127516
ABQ-SAN,ABQ,SAN,74,0.12162162162162163,6.702702702702703,0.17567567567567569
ABQ-SEA,ABQ,SEA,47,13.48936170212766,15.957446808510639,0.3829787234042553
ABQ-SFO,ABQ,SFO,116,10.241379310344827,12.775862068965518,0.25862068965517243
ABQ-SLC,ABQ,SLC,166,-9.421686746987952,0.8674698795180723,0.08433734939759036
ABR-MSP,ABR,MSP,115,-5.139130434782609,9.695652173913043,0.09565217391304348
ABY-ATL,ABY,ATL,120,21.491666666666667,26.483333333333334,0.15833333333333333
ACT-DFW,ACT,DFW,173,14.173410404624278,16.24277456647399,0.21965317919075145
ACV-DEN,ACV,DEN,44,26.818181818181817,32.0,0.29545454545454547
ACV-LAX,ACV,LAX,58,33.06896551724138,37.55172413793103,0.1724137931034483
ACV-SFO,ACV,SFO,176,26.789772727272727,27.892045454545453,0.3181818181818182
ACY-FLL,ACY,FLL,107,0.45794392523364486,6.177570093457944,0.24299065420560748
ACY-MCO,ACY,MCO,171,3.6608187134502925,5.719298245614035,0.17543859649122806
ACY-MYR,ACY,MYR,16,11.0625,17.375,0.25
ACY-PBI,ACY,PBI,60,3.25,7.45,0.2
ACY-RSW,ACY,RSW,91,6.967032967032967,8.67032967032967,0.23076923076923078
ACY-TPA,ACY,TPA,93,-4.0,-1.6989247311827957,0.15053763440860216
ADK-ANC,ADK,ANC,13,-18.23076923076923,-23.76923076923077,0.15384615384615385
ADQ-ANC,ADQ,ANC,111,0.8288288288288288,4.882882882882883,0.22522522522522523
AEX-ATL,AEX,ATL,118,7.669491525423729,14.008474576271187,0.1694915254237288
AEX-DFW,AEX,DFW,172,20.686046511627907,19.098837209302324,0.2616279069767442
AGS-ATL,AGS,ATL,339,21.710914454277287,28.616519174041297,0.25073746312684364
AGS-CLT,AGS,CLT,36,6.777777777777778,12.75,0.16666666666666666
AGS-DCA,AGS,DCA,49,1.469387755102041,4.122448979591836,0.16326530612244897
AGS-DFW,AGS,DFW,59,14.745762711864407,25.322033898305083,0.2711864406779661
ALB-ATL,ALB,ATL,148,-11.891891891891891,4.364864864864865,0.0945945945945946
ALB-BNA,ALB,BNA,16,10.8125,23.6875,0.1875
ALB-BWI,ALB,BWI,259,-5.77992277992278,3.505791505791506,0.08108108108108109
ALB-CLT,ALB,CLT,179,3.122905027932961,11.597765363128492,0.20670391061452514
ALB-DCA,ALB,DCA,164,9.597560975609756,11.646341463414634,0.20121951219512196
ALB-DEN,ALB,DEN,1,57.0,67.0,1.0
ALB-DFW,ALB,DFW,60,5.666666666666667,9.116666666666667,0.21666666666666667
ALB-DTW,ALB,DTW,171,-1.456140350877193,9.818713450292398,0.17543859649122806
ALB-EWR,ALB,EWR,18,-10.38888888888889,-3.4444444444444446,0.05555555555555555
ALB-FLL,ALB,FLL,61,14.0,10.737704918032787,0.3770491803278688
ALB-LGA,ALB,LGA,101,-8.811881188118813,2.881188118811881,0.06930693069306931
ALB-MCO,ALB,MCO,177,9.322033898305085,13.112994350282486,0.2598870056497175
ALB-MDW,ALB,MDW,85,-4.341176470588235,8.16470588235294,0.12941176470588237
ALB-MIA,ALB,MIA,8,-1.375,-2.5,0.25
ALB-MYR,ALB,MYR,7,20.285714285714285,27.285714285714285,0.2857142857142857
ALB-ORD,ALB,ORD,138,-8.652173913043478,4.246376811594203,0.13043478260869565
ALB-PGD,ALB,PGD,28,-1.25,11.071428571428571,0.17857142857142858
ALB-PIE,ALB,PIE,20,-12.15,5.2,0.15
ALB-SFB,ALB,SFB,20,-12.0,1.2,0.15
ALB-TPA,ALB,TPA,60,3.9,9.333333333333334,0.2833333333333333
ALW-SEA,ALW,SEA,104,13.663461538461538,4.634615384615385,0.2403846153846154
AMA-AUS,AMA,AUS,35,6.228571428571429,6.085714285714285,0.14285714285714285
AMA-DAL,AMA,DAL,214,-9.074766355140186,0.3177570093457944,0.08411214953271028
AMA-DEN,AMA,DEN,66,1.8333333333333333,2.0,0.2727272727272727
AMA-DFW,AMA,DFW,341,11.821114369501466,9.862170087976539,0.2287390029325513
AMA-HOU,AMA,HOU,7,-8.714285714285714,2.142857142857143,0.14285714285714285
AMA-IAH,AMA,IAH,48,-3.1666666666666665,9.625,0.14583333333333334
AMA-LAS,AMA,LAS,59,3.6440677966101696,11.813559322033898,0.2711864406779661
ANC-ADK,ANC,ADK,13,-15.692307692307692,-7.3076923076923075,0.07692307692307693
ANC-ADQ,ANC,ADQ,110,1.9454545454545455,6.218181818181818,0.2
ANC-BET,ANC,BET,114,8.62280701754386,9.859649122807017,0.2719298245614035
ANC-BRW,ANC,BRW,51,21.529411764705884,26.666666666666668,0.29411764705882354
ANC-CDV,ANC,CDV,59,13.64406779661017,17.661016949152543,0.288135593220339
ANC-DEN,ANC,DEN,60,12.616666666666667,21.75,0.2
ANC-DFW,ANC,DFW,7,2.857142857142857,-2.142857142857143,0.14285714285714285
ANC-FAI,ANC,FAI,72,2.7916666666666665,7.680555555555555,0.2222222222222222
ANC-HNL,ANC,HNL,54,-1.6481481481481481,2.6296296296296298,0.14814814814814814
ANC-JNU,ANC,JNU,175,6.8742857142857146,8.382857142857143,0.24
ANC-KOA,ANC,KOA,51,9.941176470588236,17.607843137254903,0.27450980392156865
ANC-LAS,ANC,LAS,16,-1.9375,9.8125,0.25
ANC-LAX,ANC,LAX,56,9.928571428571429,9.928571428571429,0.23214285714285715
ANC-MSP,ANC,MSP,32,77.25,77.28125,0.28125
ANC-OGG,ANC,OGG,12,-1.8333333333333333,12.916666666666666,0.16666666666666666
ANC-OME,ANC,OME,54,4.37037037037037,8.518518518518519,0.18518518518518517
ANC-ORD,ANC,ORD,9,22.88888888888889,33.111111111111114,0.2222222222222222
ANC-OTZ,ANC,OTZ,1,1.0,-6.0,0.0
ANC-PDX,ANC,PDX,53,5.169811320754717,4.339622641509434,0.22641509433962265
ANC-PHX,ANC,PHX,54,4.407407407407407,4.074074074074074,0.25925925925925924
ANC-SCC,ANC,SCC,85,4.6,6.235294117647059,0.18823529411764706
ANC-SEA,ANC,SEA,954,4.69392033542977,9.135220125786164,0.18343815513626835
APN-DTW,APN,DTW,88,10.602272727272727,19.863636363636363,0.22727272727272727
ASE-ATL,ASE,ATL,108,48.55555555555556,52.657407407407405,0.46296296296296297
ASE-AUS,ASE,AUS,43,14.534883720930232,17.674418604651162,0.32558139534883723
ASE-DEN,ASE,DEN,439,23.036446469248293,29.132118451025057,0.35079726651480636
ASE-DFW,ASE,DFW,231,14.943722943722944,23.83982683982684,0.3203463203463203
ASE-IAH,ASE,IAH,168,45.107142857142854,51.785714285714285,0.42857142857142855
ASE-LAX,ASE,LAX,278,18.14748201438849,28.01798561151079,0.3057553956834532
ASE-ORD,ASE,ORD,263,20.775665399239543,30.330798479087452,0.33079847908745247
ASE-PHX,ASE,PHX,53,18.92452830188679,26.32075471698113,0.33962264150943394
ASE-SFO,ASE,SFO,109,49.57798165137615,61.55045871559633,0.45871559633027525
ATL-ABE,ATL,ABE,155,3.5483870967741935,5.851612903225806,0.15483870967741936
ATL-ABQ,ATL,ABQ,137,-6.905109489051095,2.240875912408759,0.08759124087591241
ATL-ABY,ATL,ABY,120,11.916666666666666,21.075,0.16666666666666666
ATL-AEX,ATL,AEX,118,-3.8135593220338984,1.8135593220338984,0.1271186440677966
ATL-AGS,ATL,AGS,339,14.997050147492626,17.870206489675518,0.20648967551622419
ATL-ALB,ATL,ALB,148,4.966216216216216,6.472972972972973,0.14864864864864866
ATL-ASE,ATL,ASE,118,15.415254237288135,22.949152542372882,0.3305084745762712
ATL-ATW,ATL,ATW,63,28.047619047619047,32.19047619047619,0.19047619047619047
ATL-AUS,ATL,AUS,559,4.001788908765653,5.966010733452594,0.2075134168157424
ATL-AVL,ATL,AVL,322,-1.2267080745341614,3.5341614906832297,0.09627329192546584
ATL-BDL,ATL,BDL,281,5.359430604982206,5.708185053380783,0.17793594306049823
ATL-BHM,ATL,BHM,445,2.746067415730337,5.874157303370787,0.12359550561797752
ATL-BMI,ATL,BMI,118,32.889830508474574,38.29661016949152,0.19491525423728814
ATL-BNA,ATL,BNA,538,2.395910780669145,6.641263940520446,0.13197026022304834
ATL-BOI,ATL,BOI,60,0.7166666666666667,7.566666666666666,0.18333333333333332
ATL-BOS,ATL,BOS,660,0.9196969696969697,8.51060606060606,0.14545454545454545
ATL-BQK,ATL,BQK,120,22.566666666666666,25.5,0.30833333333333335
ATL-BTR,ATL,BTR,205,2.848780487804878,8.853658536585366,0.16097560975609757
ATL-BTV,ATL,BTV,60,1.4166666666666667,13.266666666666667,0.06666666666666667
ATL-BUF,ATL,BUF,160,6.35,8.39375,0.16875
ATL-BWI,ATL,BWI,850,4.576470588235294,9.08,0.17882352941176471
ATL-BZN,ATL,BZN,64,-3.03125,7.75,0.140625
ATL-CAE,ATL,CAE,341,-0.9413489736070382,3.1173020527859236,0.11730205278592376
ATL-CHA,ATL,CHA,331,-2.782477341389728,4.413897280966768,0.11782477341389729
ATL-CHO,ATL,CHO,167,1.6047904191616766,7.269461077844311,0.1317365269461078
ATL-CHS,ATL,CHS,392,3.877551020408163,4.244897959183674,0.14540816326530612
ATL-CID,ATL,CID,62,0.3870967741935484,10.983870967741936,0.08064516129032258
ATL-CLE,ATL,CLE,411,1.610705596107056,5.199513381995134,0.14841849148418493
ATL-CLT,ATL,CLT,729,-0.8106995884773662,5.510288065843621,0.12345679012345678
ATL-CMH,ATL,CMH,431,4.916473317865429,5.960556844547564,0.1740139211136891
ATL-COS,ATL,COS,60,-0.95,3.683333333333333,0.2
ATL-CRW,ATL,CRW,159,27.465408805031448,31.855345911949687,0.29559748427672955
ATL-CSG,ATL,CSG,158,25.4873417721519,28.924050632911392,0.3227848101265823
ATL-CVG,ATL,CVG,397,6.259445843828716,7.9672544080604535,0.17380352644836272
ATL-DAB,ATL,DAB,219,2.7488584474885847,3.3515981735159817,0.1278538812785388
ATL-DAL,ATL,DAL,455,0.6989010989010989,6.764835164835165,0.16263736263736264
ATL-DAY,ATL,DAY,204,1.1813725490196079,4.7254901960784315,0.12254901960784313
ATL-DCA,ATL,DCA,1105,5.224434389140272,7.592760180995475,0.15746606334841629
ATL-DEN,ATL,DEN,910,0.11098901098901098,7.067032967032967,0.17692307692307693
ATL-DFW,ATL,DFW,939,10.939297124600639,14.14909478168264,0.2364217252396166
ATL-DHN,ATL,DHN,120,17.241666666666667,21.45,0.2
ATL-DSM,ATL,DSM,177,-3.2203389830508473,3.711864406779661,0.10734463276836158
ATL-DTW,ATL,DTW,777,3.184041184041184,8.05019305019305,0.19176319176319176
ATL-ECP,ATL,ECP,320,3.409375,4.91875,0.159375
ATL-EGE,ATL,EGE,100,-7.08,3.16,0.11
ATL-ELP,ATL,ELP,106,-1.0849056603773586,3.1226415094339623,0.1509433962264151
ATL-EVV,ATL,EVV,158,1.8481012658227849,7.974683544303797,0.12658227848101267
ATL-EWR,ATL,EWR,889,0.16310461192350956,7.705286839145107,0.14285714285714285
ATL-EYW,ATL,EYW,245,20.306122448979593,23.771428571428572,0.22857142857142856
ATL-FAY,ATL,FAY,120,0.18333333333333332,2.716666666666667,0.10833333333333334
ATL-FLL,ATL,FLL,1411,7.927710843373494,11.669737774627924,0.21970233876683204
ATL-FSD,ATL,FSD,63,-6.111111111111111,2.1746031746031744,0.07936507936507936
ATL-FWA,ATL,FWA,155,2.303225806451613,8.55483870967742,0.11612903225806452
ATL-GEG,ATL,GEG,60,-0.3333333333333333,11.766666666666667,0.26666666666666666
ATL-GNV,ATL,GNV,261,-2.2528735632183907,1.6398467432950192,0.12643678160919541
ATL-GPT,ATL,GPT,177,-4.836158192090395,6.350282485875706,0.0903954802259887
ATL-GRB,ATL,GRB,60,19.15,22.65,0.15
ATL-GRR,ATL,GRR,212,0.25471698113207547,5.613207547169812,0.1509433962264151
ATL-GSO,ATL,GSO,375,-0.3546666666666667,3.752,0.128
ATL-GSP,ATL,GSP,504,2.8412698412698414,5.615079365079365,0.14484126984126985
ATL-GTR,ATL,GTR,114,6.780701754385965,13.18421052631579,0.12280701754385964
ATL-HDN,ATL,HDN,60,-1.7166666666666666,9.45,0.08333333333333333
ATL-HNL,ATL,HNL,60,14.6,17.0,0.35
ATL-HOU,ATL,HOU,464,-1.5495689655172413,6.385775862068965,0.1400862068965517
ATL-HPN,ATL,HPN,268,10.134328358208956,14.985074626865671,0.21641791044776118
ATL-HSV,ATL,HSV,369,-0.7560975609756098,4.929539295392954,0.11924119241192412
ATL-IAD,ATL,IAD,425,0.5741176470588235,3.971764705882353,0.11294117647058824
ATL-IAH,ATL,IAH,646,7.024767801857585,13.357585139318886,0.20123839009287925
ATL-ICT,ATL,ICT,165,4.430303030303031,3.242424242424242,0.20606060606060606
ATL-ILM,ATL,ILM,181,-1.3370165745856353,2.4751381215469612,0.08839779005524862
ATL-IND,ATL,IND,489,1.329243353783231,5.7280163599182,0.12678936605316973
ATL-JAC,ATL,JAC,48,-9.833333333333334,1.6875,0.0625
ATL-JAN,ATL,JAN,435,1.450574712643678,6.848275862068966,0.17011494252873563
ATL-JAX,ATL,JAX,704,3.4176136363636362,6.7741477272727275,0.18892045454545456
ATL-JFK,ATL,JFK,475,4.692631578947369,13.170526315789473,0.1831578947368421
ATL-LAS,ATL,LAS,759,8.013175230566535,16.972332015810277,0.25559947299077734
ATL-LAX,ATL,LAX,767,0.6492829204693612,10.405475880052151,0.20208604954367665
ATL-LEX,ATL,LEX,284,-3.158450704225352,3.362676056338028,0.1056338028169014
ATL-LFT,ATL,LFT,146,8.767123287671232,12.191780821917808,0.2602739726027397
